#,Item No.,Description,UoM
1,BM10700141,"""""PAINT BRUSH 3""""""",NO
2,BM10700143,"""""PAINT BRUSH 1""""""",NO
3,BM10700155,"""""UNION THREADED GI 1""""""",NO
4,BM10700163,"""""WASTE HOSE PVC 1 1/4"""" KOHINOOR""",NO
5,BM10700168,"""""ANGLE COCK 2WAY CP 1/2"""" PARRYWARE/PLUMBE""",NO
6,BM10700175,"""""CASCADE WASH BASIN 22"""" WHITE COLOUR""",NO
7,CN10300504,TEFLON TAPE  ANTISEIZING  1/2IN W  12M LG,NO
8,CN10300851,FLANGE  PIPE  SLIP-ON  2IN (50MM) NB  CS  RF  150LB  ASA/ANSI B16.5,NO
9,CN10301110,"TEE PIPE UNEQUAL  25X15MM SIZE : (1""X1/2 "") NB  BW SMLS SS316",NO
10,CN10301488,"""""GLASS COLUMN FOR GC DIA:1/4"""" LENGHT:6'""",NO
11,CN10301489,"""""TUBE CLEANING BRUSH SIZE:2""""""",NO
12,CN10301507,"""""CELLO TAPE. SIZE:1/2"""" (CROWN)""",NO
13,CN10301576,"""""STICKER """"9""""",NO
14,CN10301610,"""""FLANGE  SIZE:1"""" SS 316 600# SORF""",NO
15,CN10301615,"""""STUD WITH 2 HEX.NUTS HT 3/8""""X10""""""",NO
16,CN10301626,"""""PIPE SS316 ERW SCH.10 1 1/4""""""",MR
17,CN10301633,"""""PVC BEND ELECTRICAL GRADE  3/4""""""",NO
18,CN10301634,"""""PVC PIPE 3/4"""" ELEC GRADE""",MR
19,CN10301640,"""""NEEDLE VALVE BRASS  OR SS 316  1/4"""" NPT [F]""",NO
20,CN10301641,"""""NEEDLE VALVE SS316 1/2"""" FORGED SCREWED""",NO
21,CN10301642,"""""NIPPLE BARREL 3/8""""X6""""(LONG) ERW""",NO
22,CN10301650,"""""SCREW DRIVER HEAVY DUTY 10"""" 903-1 TAPARI""",NO
23,CN10301668,"""""FILTER PRESS CLOTH  SIZE:38""""X40""""""",NO
24,CN10301701,"""""COMP.MECHSEAL2.25""""WITH SLEEVE AND GLAND""",SETS
25,CN10301702,"""""COM.MECH SEAL1.625""""WITH SLEEVE AND GLAND""",SETS
26,CN10301718,"""""FLANGE BLIND 80MM(3"""")CS 150#RF""",NO
27,CN10301756,"""""""""""O"""" RING  SIZE: OD:350MM ID:335.4 THK:7.3MM  MOC:VITON""",NO
